"Comment","Designator","Footprint","LCSC Part #"
"0U1","C2,C6,C5,C3,C1,C4","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C49678"
"1K","R2","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17513"
"20K","R4,R3","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C4328"
"4K7","R5,R1","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17673"
"100k 1%","R9,R10,R11,R12","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C149504"
"MCP4921-E","U1","SOIC-8_3.9x4.9mm_P1.27mm","C43499"
"LM339A","U2","SOIC-14_3.9x8.7mm_P1.27mm","C74559"
"74AHC595","U3,U4,U7","SOIC-16_3.9x9.9mm_P1.27mm","C5520"
